name,twitter,short_desc,desc,tag,href,expert_id
Samuel J. Abrams,SamuelAbramsAEI,Visiting Scholar,"American politics
Free speech
Religion

Politics and Public Opinion 
Samuel J. Abrams is a visiting scholar at the American Enterprise Institute, where he focuses on questions of related civic and political culture and American ideologies. He is concurrently a professor of politics and social science at Sarah Lawrence College, and a faculty fellow with New York University’s Center for Advanced Social Science Research.
Dr. Abrams has been widely published in The New York Times, The Washington Post, The American Interest, and The Chronicle of Higher Education, among others. He is the author of several books on a variety of topics including public opinion, Congress, religion and society, and polarization. His scholarly articles have been featured in peer-reviewed journals such as the British Journal of Political Science, The Jewish Journal, and PS: Political Science & Politics. He is presently working on two book projects exploring partisanship, polarization, and society.
Dr. Abrams has an M.A. and Ph.D. from Harvard University and is an alumnus of Harvard University’s Kennedy School of Government Program on Inequality and Social Policy. He received his A.B. in political science and sociology from Stanford University.
Ph.D., M.A., political science and government, Harvard University
A.B., Stanford University
Most people in this country say that they are living the American dream — but what they mean by the phrase might surprise you.
While considerable focus has been placed in recent decades on the impact of the ideological bent of college professors, when it comes to collegiate life — living in dorms, participating in extracurricular organizations — the ever-growing ranks of administrators have the biggest influence on students and campus life across the country.
New Englanders have a long and storied tradition of localism and a fierce ability to solve problems. It’s time for them to demand more diversity of ideas on their hallowed quads and campuses.","American politics
Free speech
Religion",https://www.aei.org/profile/samuel-j-abrams/,samuel-j-abrams
Joseph Antos,joeantos,Wilson H. Taylor Scholar in Health Care and Retirement Policy,"Health care policy
Medicaid
Medicare

Health Care 
Joseph Antos is the Wilson H. Taylor Resident Scholar in Health Care and Retirement Policy at the American Enterprise Institute (AEI), where his work focuses on the economics of health policy, including Medicare, single-payer health insurance proposals, the uninsured, the Affordable Care Act, and the overall reform of the health care system. He is concurrently an adjunct associate professor of emergency medicine at the George Washington University. He is also the Vice-Chair of the Maryland Health Services Cost Review Commission, where he is serving a third term as a commissioner.
Before joining AEI, Dr. Antos was assistant director for health and human resources at the Congressional Budget Office (CBO). He later served as a health adviser to CBO from 2007 to 2013. He has also held senior positions in the US Department of Health and Human Services, the Office of Management and Budget, and the President’s Council of Economic Advisers.
Dr. Antos has been published in a variety of academic journals and in the popular press, including Health Affairs, the Journal of the American Medical Association, the New England Journal of Medicine, RealClearPolicy, and The Wall Street Journal. He is frequently interviewed on radio and television and often testifies before Congress.
He has a Ph.D. and an M.A. in economics from the University of Rochester and a B.A. in mathematics from Cornell University.
PhD, MA, economics, University of Rochester
BA, mathematics, Cornell University","Health care policy
Medicaid
Medicare",https://www.aei.org/profile/joseph-antos/,joseph-antos
Leon Aron,AronRTTT,"Resident Scholar; Director, Russian Studies","Russia
US-Russia relations
Vladimir Putin

Foreign and Defense Policy 
Leon Aron, who was born in Moscow and came to the United States as a refugee in 1978, is a resident scholar and the director of Russian studies at the American Enterprise Institute (AEI). He studies Russian domestic and foreign policy; US-Russia relations; and the economic, social, and cultural aspects of Russia’s post-Soviet evolution.
Since 2014, Dr. Aron has been a governor of the Broadcasting Board of Governors, which oversees the operations of several international broadcasting outlets, including Voice of America and Radio Free Europe/Radio Liberty. From 1990 to 2004, he was a panelist on “Looking from America” (Gliadya iz Ameriki), a weekly Voice of America Russian-language radio and television show. Dr. Aron has also taught at Georgetown University and was the recipient of the US Institute of Peace’s Peace Fellowship.
Dr. Aron is a prolific writer and editor, and his books include “Roads to the Temple: Memory, Truth, Ideas, and Ideals in the Making of the Russian Revolution, 1987–1991” (Yale University Press, 2012), in which he details and analyzes the intellectual and moral revolution that precipitated the end of the Soviet Union; “Russia’s Revolution: Essays 1989–2006” (AEI Press, 2007); and the first in-depth biography of Boris Yeltsin, “Yeltsin: A Revolutionary Life” (St. Martin’s Press, 2000).
His edited volumes include a series of 12 papers titled “Recovering the Empire: Ideology, Politics, and Potential Targets” (AEI, 2018); “Putin’s Russia: How It Rose, How It Is Maintained, and How It Might End” (AEI, 2015), which includes essays by nine leading Russian scholars; “The Quest for Democratic Citizenship: Agendas, Practices, and Ideals of Six Russian Grass-Roots Organizations and Movements” (AEI, 2012); and “The Emergence of Russian Foreign Policy” (US Institute of Peace, 1994)
A regular contributor to newspapers, magazines, and popular news websites, Dr. Aron has published essays and articles on Russian foreign policy, politics, and literature in CNN, Foreign Affairs, Foreign Policy, The New York Review of Books, The New York Times, The Wall Street Journal, The Washington Post, and The Weekly Standard, among others. From 1999 to 2014, he wrote AEI’s Russian Outlook, a quarterly essay on the economic, political, social, and cultural aspects of Russia’s post-Soviet transition.
In addition to his writings, Dr. Aron is a frequent guest on television and radio. His interviews include “PBS NewsHour,” CNN, C-SPAN, CBS News’ “60 Minutes,” and National Public Radio’s “All Things Considered.”
Dr. Aron has a Ph.D. in political sociology and an M.A in media sociology from Columbia University. He also has a B.A. from Moscow State Pedagogical Institute.
PhD, political sociology, MA, media sociology, Columbia University
BA, Moscow State Pedagogical Institute
Putin’s Russia presents the US with a policy dilemma of enormous political, diplomatic, and military consequences. Faced with generating patriotic mobilization for his reelection in 2018, the threat the Putin regime poses will only increase.","Russia
US-Russia relations
Vladimir Putin",https://www.aei.org/profile/leon-aron/,leon-aron
Kirsten Axelsen,,Visiting Fellow,"Drug policy

Health Care 
Kirsten Axelsen is a visiting fellow at the American Enterprise Institute (AEI), where she focuses on domestic and international pharmaceutical drug policy. In addition to her AEI work, Ms. Axelsen is a consultant to biopharmaceutical and other companies.
Before joining AEI, Ms. Axelsen worked for Pfizer for almost 20 years. As vice president for strategy and new business assessment in Pfizer’s Innovative Health and Essential Health units, her work included the oversight of business-development evaluations in the fields of rare disease, oncology, inflammation, immunology, and primary care. She was also responsible for developing a health strategy for emerging markets and renewing a 10-year strategic plan for China. Earlier, through her US work with the Pfizer Global Policy team, Ms. Axelsen dealt with the Affordable Care Act and Medicare Part D. Internationally, she worked on health technology assessment programs in the EU and quality-consistency evaluation of pharmaceutical drugs in China.
Ms. Axelsen has been widely published in scholarly journals, including the American Journal of Managed Care, PharmacoEconomics, and Value in Health. She has also participated in a variety of conferences and panels discussions, including The Atlantic’s 2014 “Future of Medicine: A Conversation on Cost and Value.”
Ms. Axelsen holds a B.A. from the University of Puget Sound and a M.S. in economics from the University of Texas at Austin. She also attended Columbia University’s School of Public Health and Harvard Business School’s Executive Education programs.
Executive Education, Harvard Business School
School of Public Health, Columbia University (biostatistics course)
MS, economics, University of Texas at Austin
BS, economics, University of Puget Sound",Drug policy,https://www.aei.org/profile/kirsten-axelsen/,kirsten-axelsen
John P. Bailey,John_Bailey,Visiting Fellow,"Skills
Unemployment
Vocational education

Education 
John P. Bailey is a visiting fellow at the American Enterprise Institute (AEI), where he works on finding new ways to reskill individuals who have lost their jobs during times of economic disruption, whether because of normal business cycles, automation, or artificial intelligence. His research on related issues includes exploring ways policies can better support new training models. He is also working with state and city policymakers, investors, and philanthropists around the implementation of Opportunity Zones and Opportunity Funds. He is also an advisor to the Walton Family Foundation.
Mr. Bailey previously served as special assistant to the president for domestic policy at the White House from 2007 to January 2009, where he worked primarily on education and labor policy issues. Earlier, he worked on economic mobility and other issues in the Departments of Commerce and Education. Before joining AEI, he worked with state policymakers on a wide range of education issues as the vice president of policy for the Foundation for Excellence in Education. Mr. Bailey cofounded Whiteboard Advisors, a strategy and consulting firm, and has advised many presidential campaigns. He is a member of the Education Reform Advisory Council of the George W. Bush Presidential Center and a board member of the Data Quality Campaign, which focuses on education data.
His writings include book chapters for “Education Savings Account” (Rowman & Littlefield, 2017), “Educational Entrepreneurship Today” (Harvard University Press, 2016), and “Private Enterprise and Public Education” (Teachers College Press, 2013).
Mr. Bailey is an alumnus of the Harvard Kennedy School’s Senior Executives in State and Local Government Program. He received his BA in international studies from Dickinson College.
Senior Executives in State and Local Government Program, John F. Kennedy School of Government, Harvard University
BA, international policy studies, Dickinson College
Dickinson Center for European Studies, Bologna, Italy","Skills
Unemployment
Vocational education",https://www.aei.org/profile/john-bailey/,john-bailey
Claude Barfield,,Resident Scholar,"Cybersecurity
Digital privacy
International trade
Trade policy

Economics 
Claude Barfield, a former consultant to the office of the US Trade Representative, researches international trade policy (including trade policy in China and East Asia), the World Trade Organization (WTO), intellectual property, and science and technology policy. His many books and publications include Swap: How Trade Works with Philip Levy, a concise introduction to the principles of world economics, and Telecoms and the Huawei conundrum: Chinese foreign direct investment in the United States, an AEI Economic Studies analysis that explores the case of Chinese telecom equipment maker Huawei and its commitment to long-term investment in the US
PhD, MA, Northwestern University
BA, Johns Hopkins University","Cybersecurity
Digital privacy
International trade
Trade policy",https://www.aei.org/profile/claude-barfield/,claude-barfield
Michael Barone,MichaelBarone,Emeritus Fellow,"American politics
Conservatism
Political parties
Public opinion polls

Politics and Public Opinion 
Michael Barone, a political analyst and journalist, studies politics, American government, and campaigns and elections. The principal coauthor of the annual Almanac of American Politics (National Journal Group), he has written many books on American politics and history. Barone is also a senior political analyst for the Washington Examiner.
Follow Michael Barone on Twitter.
LL., Yale Law School
BA, Harvard University","American politics
Conservatism
Political parties
Public opinion polls",https://www.aei.org/profile/michael-barone/,michael-barone
Robert J. Barro,,Visiting Scholar,"Economic growth
Federal budget
Monetary policy
Tax reform
Trade policy

Economics 
Robert J. Barro is a visiting scholar at the American Enterprise Institute, where he continues his work on macroeconomics and economic policy. He is concurrently the Paul M. Warburg Professor of Economics at Harvard University.
Dr. Barro’s recent work focuses on the interplay between religion and political economy and the impact of rare disasters on asset markets and economic activity. He is well-known for his seminal research on the empirical determinants of economic growth, the economic effects of public debt and budget deficits, and the formation of monetary policy.
In addition to his academic research, Dr. Barro has been widely published in academic journals, newspapers, magazines, and popular online sites. These include Business Week, where he was a viewpoint columnist; Economist.com; Financial Times; The New York Times; The Wall Street Journal, where he was a contributing editor; and VOXEU.org.
His books include “Macroeconomics: A Modern Approach” (Thomson/Southwestern, 2008); “Economic Growth” (written with Xavier Sala-i-Martin, second edition, MIT Press, 2004); “Nothing Is Sacred: Economic Ideas for the New Millennium” (MIT Press, 2002); “Macroeconomics” (fifth edition, MIT Press, 1998); “Determinants of Economic Growth: A Cross-Country Empirical Study” (MIT Press, 1997); and “Getting It Right: Markets and Choices in a Free Society” (MIT Press, 1996).
Dr. Barro has a PhD in economics from Harvard University and a BS in physics from the California Institute of Technology.
PhD, economics, Harvard University
BS, physics, California Institute of Technology","Economic growth
Federal budget
Monetary policy
Tax reform
Trade policy",https://www.aei.org/profile/robert-j-barro/,robert-j-barro
Roger Bate,,Visiting Scholar,"Drug policy
Health care policy
Pharmaceuticals

Health Care 
Roger Bate is a visiting scholar at the American Enterprise Institute (AEI) where he researches international health policy. His particular focus is on health and development policy, with a special interest in tropical diseases (including malaria control), and the quality of, and access to, medicines. He also writes on general development policy in Asia and Africa.
Dr. Bate has been widely published in academic journals and in the popular press. Among them, the British Medical Journal, the Journal of Economics and Management Strategy, the Journal of Health Economics, The Lancet, the Malaria Journal, PLOS Medicine, and the Financial Times, The New York Times, The Wall Street Journal, and The Washington Post.
He is the author, coauthor, or editor of “Phake: The Deadly World of Falsified and Substandard Medicines” (AEI Press, 2012); “Uncle Sam, M.D.: AEI Scholars on Health Care and Pharmaceutical Reform” (AEI Press, 2009); “Making a Killing: The Deadly Implications of the Counterfeit Drug Trade” (AEI Press, 2008); “All the Water in the World” (Center for Independent Studies/Southwood Press, 2006); “Saving Our Streams” (Institute of Economic Affairs, 2001); “Malaria and the DDT Story” (Institute of Economic Affairs, 2001); Fearing Food (Butterworth-Heinemann, 1999); and “Environmental Health” (Butterworth-Heinemann, 1999), among others.
Dr. Bate has a PhD in economics and an MPhil in land economy from the University of Cambridge in the United Kingdom. He also has an MSc in environmental and resource management from University College at London University, and a BA in economics from Thames Valley University.
PhD, economics; MPhil, land economy, University of Cambridge
MSc, environmental and resource management, University College, London University
BA, economics, Thames Valley University","Drug policy
Health care policy
Pharmaceuticals",https://www.aei.org/profile/roger-bate/,roger-bate
Michael Beckley,,Jeane Kirkpatrick Visiting Scholar,"China
defense reform
US-Asian relations
US-China relations

Foreign and Defense Policy 
Michael Beckley is a Jeane Kirkpatrick Visiting Scholar at the American Enterprise Institute (AEI), where his research focuses on US-China competition, long-term trends in the US-China power balance, US alliances and grand strategy, and US economic and defense policy in East Asia. Concurrently, he is an associate professor at Tufts University.
Previously, Dr. Beckley worked at the Harvard Kennedy School, the US Department of Defense, the RAND Corporation, and the Carnegie Endowment for International Peace.
Dr. Beckley is the author of “Unrivaled: Why America Will Remain the World’s Sole Superpower” (Cornell University Press, 2018). He has also been published in a variety of academic journals and in the popular press. These include International Security, the Journal of East Asian Studies, the Journal of Strategic Studies, Financial Times, Foreign Affairs, Harvard Business Review, and The Washington Post. His broadcast appearances include NPR’s “On Point.”
He has a PhD in political science from Columbia University and a BA in international studies from Emory University.
PhD, political science, Columbia University 
BA, international studies, Emory University
","China
defense reform
US-Asian relations
US-China relations",https://www.aei.org/profile/michael-beckley/,michael-beckley
Eric J. Belasco,,Visiting Scholar,"Agriculture policy
Farm subsidies

Economics 
Eric J. Belasco is a visiting scholar at the American Enterprise Institute (AEI), where he studies federal agricultural support programs, such as crop insurance and disaster aid. He is concurrently an associate professor in the Department of Agricultural Economics and Economics at Montana State University.
Dr. Belasco has also worked as an assistant professor at Texas Tech University and as a research associate at the Duke Center for Clinical Health Policy Research.
He has a PhD and an MS in economics from North Carolina State University and a BA in economics from Saint Mary’s College of California.
PhD and MS, economics, North Carolina State University

BS, economics, Saint Mary’s College of California","Agriculture policy
Farm subsidies",https://www.aei.org/profile/eric-j-belasco/,eric-j-belasco
Ryan C. Berg,,Research Fellow,"Brazil
Latin America
Transnational organized crime
Venezuela

Foreign and Defense Policy 
Ryan C. Berg is a research fellow at the American Enterprise Institute (AEI), where he focuses on transnational organized crime, narco trafficking, and illicit networks. He also studies Latin American foreign policy and development issues.
Before joining AEI, Dr. Berg served as a research consultant at the World Bank, a Fulbright Scholar in Brazil, and a visiting doctoral fellow at the Graduate Institute of International and Development Studies in Geneva, Switzerland. He has also worked in Peru and São Paulo, Brazil.
Dr. Berg has been published in a variety of policy journals, including St. Anthony’s International Review, The Tufts Historical Review, and Utraque Unum. He is fluent in Spanish and Portuguese.
Dr. Berg obtained a PhD and an MPhil in political science and an MSc in global governance and diplomacy from the University of Oxford. Earlier, he obtained a BA in government and theology from Georgetown University.
PhD, MPhil, political science; MSc, global governance and diplomacy, University of Oxford
Fulbright scholar, Brazil
BA, government and theology, Georgetown University","Brazil
Latin America
Transnational organized crime
Venezuela",https://www.aei.org/profile/ryan-berg/,ryan-berg
Andrew G. Biggs,biggsag,Resident Scholar,"Federal budget
Pensions
Retirement
Social Security

Economics 
Andrew G. Biggs is a resident scholar at the American Enterprise Institute (AEI), where he studies Social Security reform, state and local government pensions, and public sector pay and benefits.
Before joining AEI, Biggs was the principal deputy commissioner of the Social Security Administration (SSA), where he oversaw SSA’s policy research efforts. In 2005, as an associate director of the White House National Economic Council, he worked on Social Security reform. In 2001, he joined the staff of the President’s Commission to Strengthen Social Security. Biggs has been interviewed on radio and television as an expert on retirement issues and on public vs. private sector compensation. He has published widely in academic publications as well as in daily newspapers such as The New York Times, The Wall Street Journal, and The Washington Post. He has also testified before Congress on numerous occasions. In 2013, the Society of Actuaries appointed Biggs co-vice chair of a blue ribbon panel tasked with analyzing the causes of underfunding in public pension plans and how governments can securely fund plans in the future. In 2014, Institutional Investor Magazine named him one of the 40 most influential people in the retirement world. In 2016, he was appointed by President Obama to be a member of the financial control board overseeing reforms to Puerto Rico’s budget and the restructuring of the island’s debts.
Biggs holds a bachelor’s degree from Queen’s University Belfast in Northern Ireland, master’s degrees from Cambridge University and the University of London, and a PhD from the London School of Economics.
PhD, government, London School of Economics
MSc, financial economics, University of London
MPhil, social and political theory, Cambridge University
BA, philosophy, Queen’s University of Belfast","Federal budget
Pensions
Retirement
Social Security",https://www.aei.org/profile/andrew-g-biggs/,andrew-g-biggs
Mason M. Bishop,,Adjunct Fellow,"Career and technical education
Higher Education Reform
US workforce

Poverty Studies 
Mason M. Bishop is an adjunct fellow at AEI and the owner and principal at WorkED Consulting LLC, where he works on federal and state workforce development and higher education policies, practices, and programs. Specifically, he focuses on postsecondary training and credentialing, as well as entrepreneurship and workforce development tailored to the high-tech economy.
Mr. Bishop served as deputy assistant secretary for employment and training at the US Department of Labor from 2001 to 2007, during which time he led national workforce policy efforts and initiatives and oversaw key workforce investment programs. Earlier he coordinated the legislative efforts to create Utah’s Department of Workforce Services.
Mr. Bishop has a BA in political science and a master in public administration from Brigham Young University. He completed doctoral coursework in public policy at George Mason University.","Career and technical education
Higher Education Reform
US workforce",https://www.aei.org/profile/mason-m-bishop/,mason-m-bishop
Dan Blumenthal,DAlexBlumenthal,"Director, Asian Studies; Resident Fellow","China
Taiwan
US Asia-Pacific defense policy
US-China relations

Foreign and Defense Policy 
Dan Blumenthal is the director of Asian Studies at the American Enterprise Institute, where he focuses on East Asian security issues and Sino-American relations.  Mr. Blumenthal has both served in and advised the US government on China issues for over a decade.  From 2001 to 2004, he served as senior director for China, Taiwan, and Mongolia at the Department of Defense.  Additionally, he served as a commissioner on the congressionally-mandated US-China Economic and Security Review Commission since 2006-2012, and held the position of vice chairman in 2007.  He has also served on the Academic Advisory Board of the congressional US-China Working Group. Mr. Blumenthal is the co-author of “An Awkward Embrace: The United States and China in the 21st Century” (AEI Press, November 2012).
JD, Duke Law School
MA, School of Advanced International Studies, Johns Hopkins University
BA, Washington University
Chinese language studies, Capital Normal University","China
Taiwan
US Asia-Pacific defense policy
US-China relations",https://www.aei.org/profile/dan-blumenthal/,dan-blumenthal
Karlyn Bowman,,Senior Fellow,"AEI Archive
American politics
Partisanship
Public opinion polls

Politics and Public Opinion 
BA, University of Wisconsin","AEI Archive
American politics
Partisanship
Public opinion polls",https://www.aei.org/profile/karlyn-bowman/,karlyn-bowman
Hal Brands,,Resident Scholar,"Defense strategy
NATO
US-China relations

Foreign and Defense Policy 
Hal Brands is a resident scholar at the American Enterprise Institute, where he studies US foreign policy and defense strategy. Concurrently, Dr. Brands is the Henry A. Kissinger Distinguished Professor of Global Affairs at the Johns Hopkins School of Advanced International Studies (SAIS). He is also a columnist for Bloomberg Opinion.
Dr. Brands has previously worked as special assistant to the secretary of defense for strategic planning and lead writer for the National Defense Strategy Commission.
Dr. Brands is the author, coauthor, or editor of several books, including “The Lessons of Tragedy: Statecraft and World Order” (Yale University Press, 2019); “American Grand Strategy in the Age of Trump” (Brookings Institution Press, 2018); “Making the Unipolar Moment: U.S. Foreign Policy and the Rise of the Post–Cold War Order” (Cornell University Press, 2016); “The Power of the Past: History and Statecraft” (Brookings Institution Press, 2016); “What Good Is Grand Strategy? Power and Purpose in American Statecraft from Harry S. Truman to George W. Bush” (Cornell University Press, 2014); “Latin America’s Cold War” (Harvard University Press, 2010); and “From Berlin to Baghdad: America’s Search for Purpose in the Post–Cold War World” (University Press of Kentucky, 2008).
In addition to his regular Bloomberg column, Dr. Brands has been widely published and interviewed in the popular print and broadcast media. His work has been published in Commentary, Foreign Affairs, Foreign Policy, International Security, The American Interest, The National Interest, The Washington Quarterly, The Weekly Standard, and other policy and academic journals.
Dr. Brands graduated from Yale University with a PhD, MA, and MPhil in history. He also received a BA in history and political science from Stanford University.
PhD, MA, MPhil, history, Yale University
BA, political science and history, Stanford University","Defense strategy
NATO
US-China relations",https://www.aei.org/profile/hal-brands/,hal-brands
Alex Brill,AlexBrill_DC,Resident Fellow,"Carbon tax
Federal budget
Pharmaceuticals
Tax reform

Economics 
Alex Brill is a resident fellow at the American Enterprise Institute (AEI), where he studies the impact of tax policy on the US economy as well as the fiscal, economic, and political consequences of tax, budget, health care, retirement security, and trade policies. He also works on health care reform, pharmaceutical spending and drug innovation, and unemployment insurance reform. Brill is the editor of Carbon Tax Policy: A Conservative Dialogue on Pro-Growth Opportunities (2017) and the coauthor, with Alan D. Viard, of The Real Tax Burden: More Than Dollars and Cents (2011). He has testified numerous times before Congress on tax policy, labor markets and unemployment insurance, Social Security reform, fiscal stimulus, the manufacturing sector, and biologic drug competition.
Before joining AEI, Brill served as the policy director and chief economist of the House Ways and Means Committee. Previously, he served on the staff of the White House Council of Economic Advisers. He has also served on the staff of the President’s Fiscal Commission (Simpson-Bowles) and the Republican Platform Committee (2008).
Brill has an MA in mathematical finance from Boston University and a BA in economics from Tufts University.
MA, mathematical finance, Boston University
BA, economics, Tufts University","Carbon tax
Federal budget
Pharmaceuticals
Tax reform",https://www.aei.org/profile/alex-brill/,alex-brill
Arthur C. Brooks,arthurbrooks,President Emeritus,"Conservatism
Free Enterprise
Philanthropy

Economics 
Arthur C. Brooks is a former president of the American Enterprise Institute (AEI). He concurrently serves as a professor of the practice of public leadership at the Harvard Kennedy School and a senior fellow at Harvard Business School. He was president of AEI from January 1, 2009, to June 30, 2019.
Before joining AEI, Dr. Brooks was the Louis A. Bantle Professor of Business and Government in the Maxwell School of Citizenship and Public Affairs at Syracuse University, where he taught economics and social entrepreneurship. Before his work in academia and public policy, he spent 12 years as a classical musician in the United States and Spain.
Dr. Brooks is a columnist for The Washington Post, host of the podcast “The Arthur Brooks Show,” and the bestselling author of 11 books on topics including the role of government, fairness, economic opportunity, happiness, and the morality of free enterprise. His textbook “Social Entrepreneurship” was published by Prentice Hall in 2008. Dr. Brooks’ latest book, “Love Your Enemies” (Broadside Books), and a feature-length documentary, “The Pursuit,” were both released in spring 2019. He has also been published in dozens of academic journals
Dr. Brooks has a PhD and an MPhil in policy analysis from the Pardee RAND Graduate School. He also holds an MA in economics from Florida Atlantic University and a BA in economics from Thomas Edison State College.
PhD, MPhil, policy analysis, RAND Graduate School
MA, economics, Florida Atlantic University
BA, economics, Thomas Edison State College","Conservatism
Free Enterprise
Philanthropy",https://www.aei.org/profile/arthur-c-brooks/,arthur-c-brooks
Richard Burkhauser,,Visiting Scholar,"
Economics 
Richard Burkhauser’s research focuses on how public policies affect the economic behavior and well-being of vulnerable populations, e.g., older persons, people with disabilities, and low-income households. He has published widely on these topics in journals of demography, economics, gerontology, as well as public policy.
BA, Economics, St. Vincent College
MA, Economics, Rutgers University
PhD, Economics, University of Chicago",,https://www.aei.org/profile/richard-burkhauser/,richard-burkhauser
