name,twitter,title,href
Henry J. Aaron,,The Bruce and Virginia MacLaury Chair;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/henry-j-aaron/
Stephanie Aaronson,,Vice President and Director - Economic Studies;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/stephanie-aaronson/
Geneive Abdo,,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/geneive-abdo/
Noha Aboueldahab,NohaAboueldahab,"Fellow - Foreign Policy, Brookings Doha Center",https://www.brookings.edu/experts/noha-aboueldahab/
Yasmina Abouzzohour,YAbouzzohour,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/yasmina-abouzzohour/
Madiha Afzal,MadihaAfzal,"David M. Rubenstein Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Center for Middle East Policy",https://www.brookings.edu/experts/madiha-afzal/
Ajai Nirula,,Former Brookings Expert,https://www.brookings.edu/experts/ajai-nirula/
Ufuk Akcigit,ufukakcigit,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/ufuk-akcigit/
Randall Akee,indigenalysis,"Nonresident Fellow - Economic Studies, Center on Children and Families, Future of the Middle Class Initiative",https://www.brookings.edu/experts/randall-akee/
Ranj Alaaldin,RanjAlaaldin,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/ranj-alaaldin/
Laura Alfaro,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/laura-alfaro/
Scott W. Allard,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/scott-w-allard/
John R. Allen,,"President, The Brookings Institution",https://www.brookings.edu/experts/john-r-allen/
Asaad Alsaleh,,Former Brookings Expert,https://www.brookings.edu/experts/asaad-alsaleh/
Hady Amr,HadyAmr,"Nonresident Senior Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/hady-amr/
Scott R. Anderson,S_R_Anders,Visiting Fellow - Governance Studies;Senior Editor - Lawfare,https://www.brookings.edu/experts/scott-r-anderson/
William J. Antholis,wjantholis,Nonresident Fellow - Governance Studies,https://www.brookings.edu/experts/william-j-antholis/
Tamar Manuelyan Atinc,Tamar_Istanbul,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/tamar-manuelyan-atinc/
John C. Austin,John_C_Austin,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/john-c-austin/
Jeffrey A. Bader,,"Senior Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/jeffrey-a-bader/
