name,title,type,href
Neera Tanden,President and CEO of the Center for American Progress,leadership,https://www.americanprogress.org/person/tanden-neera/
Navin Nayak,Counselor,leadership,https://www.americanprogress.org/person/nayak-navin/
Mara Rudman,"Executive Vice President, Policy",leadership,https://www.americanprogress.org/person/rudman-mara/
Winnie Stachelberg,"Executive Vice President, External Affairs",leadership,https://www.americanprogress.org/person/stachelberg-winnie/
Gordon Gray,Chief Operating Officer,leadership,https://www.americanprogress.org/person/gray-gordon/
Daniella Gibbs Léger,"Executive Vice President, Communications and Strategy",leadership,https://www.americanprogress.org/person/gibbs-leger-daniella/
Neera Tanden,President and CEO of the Center for American Progress,Senior Staff,https://www.americanprogress.org/person/tanden-neera/
Navin Nayak,Counselor,Senior Staff,https://www.americanprogress.org/person/nayak-navin/
Mara Rudman,"Executive Vice President, Policy",Senior Staff,https://www.americanprogress.org/person/rudman-mara/
Winnie Stachelberg,"Executive Vice President, External Affairs",Senior Staff,https://www.americanprogress.org/person/stachelberg-winnie/
Gordon Gray,Chief Operating Officer,Senior Staff,https://www.americanprogress.org/person/gray-gordon/
Daniella Gibbs Léger,"Executive Vice President, Communications and Strategy",Senior Staff,https://www.americanprogress.org/person/gibbs-leger-daniella/
Shane Bateman,"Senior Vice President, Finance and Administration; Chief Financial Officer",Distinguished Senior Fellows,https://www.americanprogress.org/person/bateman-shane/
Sam Berger,"Vice President, Democracy and Government Reform",Distinguished Senior Fellows,https://www.americanprogress.org/person/berger-sam/
Alexandra Cawthorne Gaines,"Vice President, Poverty to Prosperity",Distinguished Senior Fellows,https://www.americanprogress.org/person/cawthorne-gaines-alexandra/
Ed Chung,"Vice President, Criminal Justice Reform",Distinguished Senior Fellows,https://www.americanprogress.org/person/chung-ed/
Erin Cohan,Vice President and Chief of Staff,Distinguished Senior Fellows,https://www.americanprogress.org/person/cohan-erin/
Brent J. Cohen,"Executive Director, Generation Progress; Vice President, Youth Engagement",Distinguished Senior Fellows,https://www.americanprogress.org/person/cohen-brent/
Adam Conner,"Vice President, Technology Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/conner-adam/
Marlene Cooper Vasilic,"Vice President, Outreach and Special Events",Distinguished Senior Fellows,https://www.americanprogress.org/person/cooper-vasilic-marlene/
Brian DeMarco,"Vice President, Development",Distinguished Senior Fellows,https://www.americanprogress.org/person/demarco-brian/
Alex DeMots,Senior Vice President; General Counsel,Distinguished Senior Fellows,https://www.americanprogress.org/person/demots-alex/
Christy Goldfuss,"Senior Vice President, Energy and Environment Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/goldfuss-christy/
Katie Hamm,"Vice President, Early Childhood Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/hamm-katie/
Deborah Holston,"Vice President, Finance",Distinguished Senior Fellows,https://www.americanprogress.org/person/holston-deborah/
Tom Jawetz,"Vice President, Immigration Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/jawetz-tom/
Kelly Magsamen,"Vice President, National Security and International Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/magsamen-kelly/
Ben Miller,"Vice President, Postsecondary Education",Distinguished Senior Fellows,https://www.americanprogress.org/person/miller-ben/
Ben Olinsky,"Senior Vice President, Policy and Strategy",Distinguished Senior Fellows,https://www.americanprogress.org/person/olinsky-ben/
Chelsea Parsons,"Vice President, Gun Violence Prevention",Distinguished Senior Fellows,https://www.americanprogress.org/person/parsons-chelsea/
Jamie Perez,"Vice President, Digital Strategy",Distinguished Senior Fellows,https://www.americanprogress.org/person/perez-jamie/
Shilpa Phadke,"Vice President, Women's Initiative",Distinguished Senior Fellows,https://www.americanprogress.org/person/phadke-shilpa/
Allison Preiss,"Vice President, Communications",Distinguished Senior Fellows,https://www.americanprogress.org/person/preiss-allison/
Laura Rodriguez,"Vice President, Government Affairs",Distinguished Senior Fellows,https://www.americanprogress.org/person/rodriguez-laura/
Scott Sargrad,"Vice President, K-12 Education Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/sargrad-scott/
Danyelle Solomon,"Vice President, Race and Ethnicity Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/solomon-danyelle/
Topher Spiro,"Vice President, Health Policy; Senior Fellow",Distinguished Senior Fellows,https://www.americanprogress.org/person/spiro-topher/
Lauren Vicary,"Senior Vice President, Art, Editorial, and Video",Distinguished Senior Fellows,https://www.americanprogress.org/person/vicary-lauren/
Andres Vinelli,"Vice President, Economic Policy",Distinguished Senior Fellows,https://www.americanprogress.org/person/vinelli-andres/
Alex Wall,"Vice President, Digital Engagement",Distinguished Senior Fellows,https://www.americanprogress.org/person/wall-alex/
Karen Witt,"Vice President, Human Resources",Distinguished Senior Fellows,https://www.americanprogress.org/person/witt-karen/
